split,policy,num_seeds,mean_initial_layout_score,std_initial_layout_score,mean_final_layout_score,std_final_layout_score,mean_layout_score_improvement,std_layout_score_improvement,mean_total_reward,std_total_reward,mean_episode_length,std_episode_length
test_seen,fixed::reset_k_to_default,5,0.5136155059124727,0.002621035097094957,0.6854411921607516,0.0043843549733767395,0.17182568624827874,0.005573902314140713,0.23251549429241464,0.006433783400564468,5.0,0.0
test_seen,fixed::reset_temperature_to_default,5,0.5136155059124727,0.002621035097094957,0.6869083642174195,0.0020862862273206403,0.17329285830494667,0.0012005893178953337,0.222566919239742,0.001043067635080607,5.0,0.0
test_seen,fixed::small_decrease_cooling_rate,5,0.5136155059124727,0.002621035097094957,0.6790972370572447,0.003913473237502307,0.16548173114477183,0.005557676440683857,0.22404640069744497,0.005980130784265669,5.0,0.0
test_seen,fixed::small_decrease_k,5,0.5136155059124727,0.002621035097094957,0.6813408810237698,0.004182936215416761,0.16772537511129698,0.004679527903830693,0.22571147046387646,0.005605070191574531,5.0,0.0
test_seen,fixed::small_decrease_temperature,5,0.5136155059124727,0.002621035097094957,0.6831384648586074,0.0037637122603587,0.1695229589461346,0.005491433289341638,0.22650892771468953,0.00628332825827797,5.0,0.0
test_seen,fixed::small_increase_cooling_rate,5,0.5136155059124727,0.002621035097094957,0.6892585837544664,0.0022909890451602963,0.17564307784199357,0.003094564191995601,0.22615832682433107,0.0035312636931282074,5.0,0.0
test_seen,fixed::small_increase_k,5,0.5136155059124727,0.002621035097094957,0.6855269791166559,0.003526366693098627,0.17191147320418323,0.004708756013810077,0.2249569258303782,0.005427814876888114,5.0,0.0
test_seen,fixed::small_increase_temperature,5,0.5136155059124727,0.002621035097094957,0.6863183756949925,0.002414808100008561,0.17270286978251984,0.0040567079952357485,0.22721792785254694,0.004834141946462275,5.0,0.0
test_seen,ppo,5,0.5136155059124727,0.002621035097094957,0.699439365814265,0.004376186174049215,0.18582385990179212,0.005399321874113425,0.25159033790500146,0.005903714603899933,5.0,0.0
test_seen,random,5,0.5136155059124727,0.002621035097094957,0.6846649522811101,0.005071887470773796,0.17104944636863725,0.006179881344461046,0.22872696627085704,0.0077757209933460286,5.0,0.0
test_unseen_family,fixed::compress_and_stabilize,5,0.4829422651841847,0.003301880490958427,0.5876604536847821,0.0017814085325204866,0.1047181885005974,0.001762288426333777,0.1554842338690756,0.0016355613315503395,5.0,0.0
test_unseen_family,fixed::cool_down_layout,5,0.4829422651841847,0.003301880490958427,0.5841953970876969,0.002313959149492474,0.10125313190351207,0.004171643999406254,0.15167267161228173,0.0043175940418143325,5.0,0.0
test_unseen_family,fixed::expand_and_explore,5,0.4829422651841847,0.003301880490958427,0.5907795422983587,0.0019007231313610438,0.10783727711417401,0.0036385208655191695,0.15887226299548524,0.003681143358956578,5.0,0.0
test_unseen_family,fixed::expand_and_stabilize,5,0.4829422651841847,0.003301880490958427,0.5922943242690026,0.00189109527571656,0.10935205908481796,0.0028945569300506398,0.16058149151171822,0.0029188098385094507,5.0,0.0
test_unseen_family,fixed::large_decrease_cooling_rate,5,0.4829422651841847,0.003301880490958427,0.5851897558136806,0.0008531851571138974,0.10224749062949587,0.0031832964329797523,0.15276646621086395,0.0031837939727535234,5.0,0.0
test_unseen_family,fixed::large_decrease_k,5,0.4829422651841847,0.003301880490958427,0.5806308546769812,0.0012697374560989765,0.09768858949279638,0.0031939461126424297,0.14775167496049452,0.003210689197457294,5.0,0.0
test_unseen_family,fixed::large_decrease_temperature,5,0.4829422651841847,0.003301880490958427,0.5880150064815293,0.0016096678279652402,0.10507274129734463,0.002797969865786406,0.15587424194549754,0.00279397043398439,5.0,0.0
test_unseen_family,fixed::large_increase_cooling_rate,5,0.4829422651841847,0.003301880490958427,0.5664391100957837,0.0020738262941906154,0.08349684491159903,0.0031433997316034413,0.1351407559211774,0.003201858786249673,5.0,0.0
test_unseen_family,fixed::large_increase_k,5,0.4829422651841847,0.003301880490958427,0.5958904150060581,0.001141590356692556,0.11294814982187343,0.003016524068585661,0.16363798128228138,0.0027806568541858326,5.0,0.0
test_unseen_family,fixed::large_increase_temperature,5,0.4829422651841847,0.003301880490958427,0.5895661634348566,0.001571905749642188,0.10662389825067184,0.004173165433134529,0.1575805145941575,0.0042823354461456915,5.0,0.0
test_unseen_family,fixed::no_change,5,0.4829422651841847,0.003301880490958427,0.5899666183621759,0.0013538402221386712,0.1070243531779912,0.0029424865947097396,0.1630210150142088,0.0029386094988230363,5.0,0.0
test_unseen_family,fixed::reheat_layout,5,0.4829422651841847,0.003301880490958427,0.5741199374750993,0.0019605434523042474,0.09117767229091459,0.003474001827379789,0.14058966603842452,0.0035507923704105535,5.0,0.0
test_unseen_family,fixed::reset_cooling_rate_to_default,5,0.4829422651841847,0.003301880490958427,0.5899666183621759,0.0013538402221386712,0.1070243531779912,0.0029424865947097396,0.1630210150142088,0.0029386094988230363,5.0,0.0
test_unseen_family,fixed::reset_k_to_default,5,0.4829422651841847,0.003301880490958427,0.5899666183621759,0.0013538402221386712,0.1070243531779912,0.0029424865947097396,0.1630210150142088,0.0029386094988230363,5.0,0.0
test_unseen_family,fixed::reset_temperature_to_default,5,0.4829422651841847,0.003301880490958427,0.5816959857079897,0.0014473884210745391,0.09875372052380507,0.0035747698200013917,0.14992331909460405,0.0036327783267762945,5.0,0.0
test_unseen_family,fixed::small_decrease_cooling_rate,5,0.4829422651841847,0.003301880490958427,0.5886771344638614,0.0013617616818808397,0.10573486927967661,0.002629200381914911,0.15660258272606278,0.0025918537906365036,5.0,0.0
test_unseen_family,fixed::small_decrease_k,5,0.4829422651841847,0.003301880490958427,0.5885545688674294,0.001343742106105349,0.10561230368324477,0.004256170449993942,0.15646776056998773,0.0043628963802655124,5.0,0.0
test_unseen_family,fixed::small_decrease_temperature,5,0.4829422651841847,0.003301880490958427,0.5897237580392591,0.001557615255569077,0.10678149285507439,0.0031542143996431894,0.15775386865900032,0.003181290937722133,5.0,0.0
test_unseen_family,fixed::small_increase_cooling_rate,5,0.4829422651841847,0.003301880490958427,0.5882833494036958,0.0015049951722032376,0.10534108421951108,0.003984295624442469,0.15616941915988064,0.0040768839153339,5.0,0.0
test_unseen_family,fixed::small_increase_k,5,0.4829422651841847,0.003301880490958427,0.5898083897759123,0.0018453026572818373,0.10686612459172769,0.003223677828230313,0.15784696356931896,0.0032734741094524655,5.0,0.0
test_unseen_family,fixed::small_increase_temperature,5,0.4829422651841847,0.003301880490958427,0.5887763395263897,0.0006940313455435469,0.10583407434220493,0.0029739339990176284,0.15671170829484388,0.002948127378837761,5.0,0.0
test_unseen_family,ppo,5,0.4829422651841847,0.003301880490958427,0.5959983194992886,0.0005048778820826684,0.11305605431510402,0.0035634873313057755,0.16972921959836623,0.003435089864197247,5.0,0.0
test_unseen_family,random,5,0.4829422651841847,0.003301880490958427,0.5870360341264774,0.0007547858876216836,0.10409376894229272,0.0030125625476418497,0.15837070568827377,0.0030844636832680935,5.0,0.0
