split,policy,seed,graph_id,layout_score_improvement
val,Random,2027,val__tree__medium__idx0002__seed233028,0.18741923773589186
val,Random,2027,val__grid__small__idx0000__seed242026,0.2759766780969303
val,Random,2027,val__grid__small__idx0001__seed242027,0.32993261057335466
val,Random,2027,val__grid__small__idx0002__seed242028,0.32736245603614056
val,Random,2027,val__grid__medium__idx0000__seed243026,0.2177501060023791
val,Random,2027,val__grid__medium__idx0001__seed243027,0.2290761870793362
val,Random,2027,val__grid__medium__idx0002__seed243028,0.26265228979694805
val,Best fixed,2027,val__erdos_renyi__small__idx0000__seed202026,0.13216576726235507
val,Best fixed,2027,val__erdos_renyi__small__idx0001__seed202027,0.23096831243446303
val,Best fixed,2027,val__erdos_renyi__small__idx0002__seed202028,0.18040733604989923
val,Best fixed,2027,val__erdos_renyi__medium__idx0000__seed203026,0.21296471570358144
val,Best fixed,2027,val__erdos_renyi__medium__idx0001__seed203027,0.15713231676279454
val,Best fixed,2027,val__erdos_renyi__medium__idx0002__seed203028,0.12869999450635639
val,Best fixed,2027,val__barabasi_albert__small__idx0000__seed212026,0.1033440035241775
val,Best fixed,2027,val__barabasi_albert__small__idx0001__seed212027,0.11698357791403546
val,Best fixed,2027,val__barabasi_albert__small__idx0002__seed212028,0.11564226175516756
val,Best fixed,2027,val__barabasi_albert__medium__idx0000__seed213026,0.13915244358687784
val,Best fixed,2027,val__barabasi_albert__medium__idx0001__seed213027,0.08147946555281571
val,Best fixed,2027,val__barabasi_albert__medium__idx0002__seed213028,0.11778006433460514
val,Best fixed,2027,val__watts_strogatz__small__idx0000__seed222026,0.1154283672193509
val,Best fixed,2027,val__watts_strogatz__small__idx0001__seed222027,0.16306783792713914
val,Best fixed,2027,val__watts_strogatz__small__idx0002__seed222028,0.16170194948693845
val,Best fixed,2027,val__watts_strogatz__medium__idx0000__seed223026,0.12096253376720845
val,Best fixed,2027,val__watts_strogatz__medium__idx0001__seed223027,0.10011007976663922
val,Best fixed,2027,val__watts_strogatz__medium__idx0002__seed223028,0.1405649070551136
val,Best fixed,2027,val__tree__small__idx0000__seed232026,0.26258650633459635
val,Best fixed,2027,val__tree__small__idx0001__seed232027,0.21755758540727121
val,Best fixed,2027,val__tree__small__idx0002__seed232028,0.23712805976199414
val,Best fixed,2027,val__tree__medium__idx0000__seed233026,0.20520887580183145
val,Best fixed,2027,val__tree__medium__idx0001__seed233027,0.2739876857445731
val,Best fixed,2027,val__tree__medium__idx0002__seed233028,0.1907010132654401
val,Best fixed,2027,val__grid__small__idx0000__seed242026,0.26569768193215204
val,Best fixed,2027,val__grid__small__idx0001__seed242027,0.27006637496340746
val,Best fixed,2027,val__grid__small__idx0002__seed242028,0.34004690609258215
val,Best fixed,2027,val__grid__medium__idx0000__seed243026,0.21831749252884158
val,Best fixed,2027,val__grid__medium__idx0001__seed243027,0.17416383220134024
val,Best fixed,2027,val__grid__medium__idx0002__seed243028,0.3016444629345714
val,PPO,2027,val__erdos_renyi__small__idx0000__seed202026,0.13085516861808277
val,PPO,2027,val__erdos_renyi__small__idx0001__seed202027,0.22622051703330348
val,PPO,2027,val__erdos_renyi__small__idx0002__seed202028,0.16296081008104368
val,PPO,2027,val__erdos_renyi__medium__idx0000__seed203026,0.2130339316582881
val,PPO,2027,val__erdos_renyi__medium__idx0001__seed203027,0.1422854400271965
val,PPO,2027,val__erdos_renyi__medium__idx0002__seed203028,0.13901217488967954
val,PPO,2027,val__barabasi_albert__small__idx0000__seed212026,0.101620591700885
val,PPO,2027,val__barabasi_albert__small__idx0001__seed212027,0.1725226591501362
val,PPO,2027,val__barabasi_albert__small__idx0002__seed212028,0.11880254407189439
val,PPO,2027,val__barabasi_albert__medium__idx0000__seed213026,0.1308487888064367
val,PPO,2027,val__barabasi_albert__medium__idx0001__seed213027,0.07461850008633286
val,PPO,2027,val__barabasi_albert__medium__idx0002__seed213028,0.11560088551974074
val,PPO,2027,val__watts_strogatz__small__idx0000__seed222026,0.10889399133956146
val,PPO,2027,val__watts_strogatz__small__idx0001__seed222027,0.16632072020516458
val,PPO,2027,val__watts_strogatz__small__idx0002__seed222028,0.16251466645809504
val,PPO,2027,val__watts_strogatz__medium__idx0000__seed223026,0.13218550388792683
val,PPO,2027,val__watts_strogatz__medium__idx0001__seed223027,0.09750909771981853
val,PPO,2027,val__watts_strogatz__medium__idx0002__seed223028,0.13086837199246892
val,PPO,2027,val__tree__small__idx0000__seed232026,0.27262838918738075
val,PPO,2027,val__tree__small__idx0001__seed232027,0.22485238827254284
val,PPO,2027,val__tree__small__idx0002__seed232028,0.25336794329744694
val,PPO,2027,val__tree__medium__idx0000__seed233026,0.2175202970000235
val,PPO,2027,val__tree__medium__idx0001__seed233027,0.2843668283678005
val,PPO,2027,val__tree__medium__idx0002__seed233028,0.1993462704220702
val,PPO,2027,val__grid__small__idx0000__seed242026,0.2696090927850622
val,PPO,2027,val__grid__small__idx0001__seed242027,0.34864120015204825
val,PPO,2027,val__grid__small__idx0002__seed242028,0.34077113368385104
val,PPO,2027,val__grid__medium__idx0000__seed243026,0.3130513679932363
val,PPO,2027,val__grid__medium__idx0001__seed243027,0.19451363724711113
val,PPO,2027,val__grid__medium__idx0002__seed243028,0.3434887500066875
val,Default FR,2028,val__erdos_renyi__small__idx0000__seed202026,0.107622623177823
val,Default FR,2028,val__erdos_renyi__small__idx0001__seed202027,0.1731594783278163
val,Default FR,2028,val__erdos_renyi__small__idx0002__seed202028,0.1321831867121782
val,Default FR,2028,val__erdos_renyi__medium__idx0000__seed203026,0.13545854584112627
val,Default FR,2028,val__erdos_renyi__medium__idx0001__seed203027,0.14524205705843007
val,Default FR,2028,val__erdos_renyi__medium__idx0002__seed203028,0.12654756943206447
val,Default FR,2028,val__barabasi_albert__small__idx0000__seed212026,0.06954725749406732
val,Default FR,2028,val__barabasi_albert__small__idx0001__seed212027,0.10539899952542964
val,Default FR,2028,val__barabasi_albert__small__idx0002__seed212028,0.1163341266196462
val,Default FR,2028,val__barabasi_albert__medium__idx0000__seed213026,0.1073159175938575
val,Default FR,2028,val__barabasi_albert__medium__idx0001__seed213027,0.10479181187065406
val,Default FR,2028,val__barabasi_albert__medium__idx0002__seed213028,0.08279001982607093
val,Default FR,2028,val__watts_strogatz__small__idx0000__seed222026,0.14799670445036867
val,Default FR,2028,val__watts_strogatz__small__idx0001__seed222027,0.1513920157248489
val,Default FR,2028,val__watts_strogatz__small__idx0002__seed222028,0.14585397335480377
val,Default FR,2028,val__watts_strogatz__medium__idx0000__seed223026,0.106425880799083
val,Default FR,2028,val__watts_strogatz__medium__idx0001__seed223027,0.09824370714081238
val,Default FR,2028,val__watts_strogatz__medium__idx0002__seed223028,0.10866140850832451
val,Default FR,2028,val__tree__small__idx0000__seed232026,0.23871424213277892
val,Default FR,2028,val__tree__small__idx0001__seed232027,0.20605048120443925
val,Default FR,2028,val__tree__small__idx0002__seed232028,0.20439408278951698
val,Default FR,2028,val__tree__medium__idx0000__seed233026,0.19546137735077318
val,Default FR,2028,val__tree__medium__idx0001__seed233027,0.24665856120573826
val,Default FR,2028,val__tree__medium__idx0002__seed233028,0.17214252878770775
val,Default FR,2028,val__grid__small__idx0000__seed242026,0.29713762619414286
val,Default FR,2028,val__grid__small__idx0001__seed242027,0.30073317893167806
val,Default FR,2028,val__grid__small__idx0002__seed242028,0.3131931571725296
